dist_px,mean_abs_diff,n
0,9.90867,880
1,9.76822,880
2,9.38395,800
3,9.37138,800
4,9.28610,800
5,9.14489,800
6,8.53991,720
7,8.27800,720
8,8.13714,720
9,8.08204,720
10,7.80817,720
11,7.60602,720
12,7.08810,640
13,6.96543,640
14,6.90185,640
15,6.78447,640
16,6.64822,640
17,6.57359,640
18,6.44139,640
19,6.27263,640
20,5.82090,560
21,5.73091,560
22,5.53859,560
23,5.46325,560
24,5.33588,560
25,5.31448,560
26,4.88233,480
27,4.81407,480
28,4.66942,480
29,4.57894,480
30,4.59768,480
31,4.46439,480
32,3.92842,400
33,3.95869,400
34,3.87020,400
35,3.77576,400
36,3.75933,400
37,3.77556,400
38,3.20092,320
39,3.15094,320
40,3.09598,320
41,3.12075,320
42,3.09917,320
43,3.01601,320
44,2.34403,240
45,2.32406,240
46,2.28853,240
47,2.26944,240
48,2.23148,240
49,2.21420,240
50,2.20342,240
51,2.18664,240
52,1.42829,160
53,1.44436,160
54,1.46085,160
55,1.43308,160
56,1.42774,160
57,1.44578,160
58,0.00000,80
59,0.00000,80
60,0.00000,80
61,0.00000,80
62,0.00000,80
63,0.00000,80
64,0.00000,0
65,0.00000,0
66,0.00000,0
67,0.00000,0
68,0.00000,0
69,0.00000,0
70,0.00000,0
71,0.00000,0
72,0.00000,0
73,0.00000,0
74,0.00000,0
75,0.00000,0
76,0.00000,0
77,0.00000,0
78,0.00000,0
79,0.00000,0
80,0.00000,0
81,0.00000,0
82,0.00000,0
83,0.00000,0
84,0.00000,0
85,0.00000,0
86,0.00000,0
87,0.00000,0
88,0.00000,0
89,0.00000,0
90,0.00000,0
91,0.00000,0
92,0.00000,0
93,0.00000,0
94,0.00000,0
95,0.00000,0
96,0.00000,0
97,0.00000,0
98,0.00000,0
99,0.00000,0
100,0.00000,0
101,0.00000,0
102,0.00000,0
103,0.00000,0
104,0.00000,0
105,0.00000,0
106,0.00000,0
107,0.00000,0
108,0.00000,0
109,0.00000,0
110,0.00000,0
111,0.00000,0
112,0.00000,0
113,0.00000,0
114,0.00000,0
115,0.00000,0
116,0.00000,0
117,0.00000,0
118,0.00000,0
119,0.00000,0
120,0.00000,0
121,0.00000,0
122,0.00000,0
123,0.00000,0
124,0.00000,0
125,0.00000,0
126,0.00000,0
127,0.00000,0
